,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,Out_Temp,Out_Humi,TemperatureDif,HumidityDif,CO2Dif,HumidityRatioDif,weekday,office,timegroup_0,timegroup_1,timegroup_2,timegroup_3,TemperatureIncr,HumidityIncr,CO2Incr,HumidityRatioIncr,Temp_InOut,TemperatureAfterAvg,HumidityAfterAvg,CO2AfterAvg,HumidityRatioAfterAvg
0,2015-02-11 15:08,21.865,31.7225,449.5,1072.333333,0.005150007,1,3,81,0.041666667,-0.0075,0.333333333,1.2e-05,1,1,0,0,1,0,21.793916666500007,31.369166665999995,1034.8583333499996,0.005069974949999999,18.865,21.88874999999999,31.6740833335,1074.8333332999996,0.005149607099999999
1,2015-02-11 15:08,21.89,31.745,449.5,1075.333333,0.005161628,1,3,81,0.025,0.0225,3.0,1.16e-05,1,1,0,0,1,0,21.799166666500007,31.398624999499997,1036.9916666499996,0.005076424749999999,18.89,21.889999999999993,31.641125,1068.61666665,0.005144601299999999
2,2015-02-11 15:10,21.89,31.7675,449.5,1087.0,0.005165317,1,3,81,0.0,0.0225,11.66666667,3.69e-06,1,1,0,0,1,0,21.804166666500002,31.435874999499998,1040.7583332999998,0.0050840771,18.89,21.889999999999993,31.592375,1060.5125,0.00513661095
3,2015-02-11 15:10,21.89,31.7675,437.75,1083.25,0.005165317,1,3,81,0.0,0.0,-3.75,0.0,1,1,0,0,1,0,21.8102916665,31.4681249995,1044.9208333,0.0050912645000000005,18.89,21.889999999999993,31.542375000000003,1050.2875,0.0051284157
4,2015-02-11 15:11,21.89,31.79,442.6666667,1086.333333,0.005169005999999999,1,3,81,0.0,0.0225,3.083333333,3.69e-06,1,1,0,0,1,0,21.8164166665,31.50037499950001,1048.6083333,0.0050984519,18.89,21.889999999999993,31.50125000000001,1040.35,0.005121674799999999
5,2015-02-11 15:13,21.89,31.79,437.33333330000005,1091.0,0.005169005999999999,1,3,81,0.0,0.0,4.666666667,0.0,1,1,0,0,1,0,21.8214166665,31.533208333,1052.6416666,0.005105387300000001,18.89,21.889999999999993,31.45137500000001,1030.9833333499996,0.0051134998999999995
6,2015-02-11 15:14,21.89,31.89,439.0,1100.0,0.005185401,1,3,81,0.0,0.1,9.0,1.64e-05,1,1,0,0,1,0,21.827916666499995,31.559708333000003,1056.47499995,0.005111757350000001,18.89,21.889999999999993,31.400375000000004,1020.84583335,0.00510514065
7,2015-02-11 15:15,21.89,31.89,444.0,1101.0,0.005185401,1,3,81,0.0,0.0,1.0,0.0,1,1,0,0,1,0,21.8329166665,31.594333333,1060.54999995,0.0051189899500000005,18.89,21.889999999999993,31.345624999999995,1009.77083335,0.005096166500000001
8,2015-02-11 15:16,21.89,31.865,444.0,1107.0,0.0051813020000000005,1,3,81,0.0,-0.025,6.0,-4.1e-06,1,1,0,0,1,0,21.8379166665,31.6191666665,1064.6666666,0.0051246275500000035,18.89,21.889999999999993,31.29199999999999,999.28333335,0.005087376699999999
9,2015-02-11 15:16,21.89,31.79,444.0,1110.0,0.005169005999999999,1,3,81,0.0,-0.075,3.0,-1.23e-05,1,1,0,0,1,0,21.842916666499995,31.64654166650001,1068.9166666,0.005130677850000001,18.89,21.889999999999993,31.23125,988.75833335,0.005077419549999999
10,2015-02-11 15:17,21.89,31.865,444.0,1101.75,0.0051813020000000005,1,3,81,0.0,0.075,-8.25,1.23e-05,1,1,0,0,1,0,21.847916666499987,31.662875000000003,1073.04999995,0.005134925500000001,18.89,21.889999999999993,31.179124999999992,977.7333333499997,0.005068875999999999
11,2015-02-11 15:19,21.89,31.73,444.0,1100.0,0.005159169,1,3,81,0.0,-0.135,-1.75,-2.21e-05,1,1,0,0,1,0,21.8529166665,31.67987500000001,1075.74999995,0.00513928565,18.89,21.889999999999993,31.124041666499995,967.012500015,0.00505984735
12,2015-02-11 15:20,21.89,31.7225,444.0,1092.75,0.005157939,1,4,81,0.0,-0.0075,-7.25,-1.23e-06,1,1,0,0,1,0,21.857916666499992,31.687625,1078.29999995,0.005142131900000001,17.89,21.889999999999993,31.0760416665,956.687500015,0.00505197995
13,2015-02-11 15:21,21.89,31.7,444.0,1092.5,0.00515425,1,4,81,0.0,-0.0225,-0.25,-3.69e-06,1,1,0,0,1,0,21.862916666499988,31.704,1079.86249995,0.005146382800000001,17.89,21.889999999999993,31.0121666665,943.675000015,0.005041511550000001
14,2015-02-11 15:22,21.89,31.695,436.5,1094.0,0.005153431,1,4,81,0.0,-0.005,1.5,-8.2e-07,1,1,0,0,1,0,21.867916666499987,31.71937500000001,1082.03749995,0.005150469600000001,17.89,21.889999999999993,30.9555,930.500000015,0.0050322243
15,2015-02-11 15:23,21.89,31.56666667,434.0,1085.666667,0.005132392,1,4,81,0.0,-0.128333333,-8.333333332999999,-2.1e-05,1,1,0,0,1,0,21.8729166665,31.729125000000003,1084.33749995,0.005153639850000001,17.89,21.889999999999993,30.895750000000003,917.262500015,0.00502243185
16,2015-02-11 15:23,21.89,31.55,436.5,1047.0,0.00512966,0,4,81,0.0,-0.016666667,-38.66666667,-2.73e-06,1,1,0,0,1,0,21.8766666665,31.732458333500013,1086.1583332999999,0.005155366,17.89,21.889999999999993,30.84616666650001,905.5041666649997,0.00501430575
17,2015-02-11 15:24,21.89,31.36,434.0,1031.0,0.005098515,0,4,81,0.0,-0.19,-16.0,-3.11e-05,1,1,0,0,1,0,21.880416666499986,31.736333333500014,1085.9458332999998,0.0051571799,17.89,21.889999999999993,30.798666666500004,895.3541666649999,0.00500652105
18,2015-02-11 15:26,21.89,31.125,432.75,977.5,0.005059998,0,4,81,0.0,-0.235,-53.5,-3.85e-05,1,1,0,0,1,0,21.880416666499986,31.7243333335,1084.4708332999999,0.0051552128000000004,17.89,21.889999999999993,30.7581666665,885.8166666649997,0.004999884
19,2015-02-11 15:27,21.89,31.15,436.5,961.25,0.005064095,1,4,81,0.0,0.025,-16.25,4.1e-06,1,1,0,0,1,0,21.885416666499985,31.7030833335,1080.3708333,0.0051533041,17.89,21.888749999999995,30.7294166665,878.1291666649997,0.0049947911
20,2015-02-11 15:28,21.89,31.06333333,434.0,948.0,0.005049891,1,4,81,0.0,-0.08666666699999999,-13.25,-1.42e-05,1,1,0,0,1,0,21.88874999999999,31.6740833335,1074.8333332999996,0.005149607099999999,17.89,21.888749999999995,30.7019166665,871.2666666649999,0.00499028465
21,2015-02-11 15:29,21.89,30.77,429.0,913.25,0.005001821,1,4,81,0.0,-0.29333333300000003,-34.75,-4.81e-05,1,1,0,0,1,0,21.889999999999993,31.641125,1068.61666665,0.005144601299999999,17.89,21.888749999999995,30.66575,864.5166666649999,0.00498435855
22,2015-02-11 15:29,21.89,30.7675,432.75,882.5,0.005001412,1,4,81,0.0,-0.0025,-30.75,-4.1e-07,1,1,0,0,1,0,21.889999999999993,31.592375,1060.5125,0.00513661095,17.89,21.888749999999995,30.645083333500004,858.954166665,0.00498097245
23,2015-02-11 15:30,21.89,30.945,429.0,884.5,0.005030499,1,4,81,0.0,0.1775,2.0,2.9100000000000013e-05,1,1,0,0,1,0,21.889999999999993,31.542375000000003,1050.2875,0.0051284157,17.89,21.8875,30.626333333500003,855.366666665,0.0049775206
24,2015-02-11 15:32,21.89,30.7925,429.0,899.0,0.005005508,1,4,81,0.0,-0.1525,14.5,-2.5e-05,1,1,0,0,1,0,21.889999999999993,31.50125000000001,1040.35,0.005121674799999999,17.89,21.8875,30.596916667000013,851.4083333300001,0.0049727006
25,2015-02-11 15:33,21.89,30.77,432.75,888.25,0.005001821,1,4,81,0.0,-0.0225,-10.75,-3.69e-06,1,1,0,0,1,0,21.889999999999993,31.45137500000001,1030.9833333499996,0.0051134998999999995,17.89,21.8875,30.573041667,846.2833333300001,0.00496878885
26,2015-02-11 15:34,21.89,30.795,436.5,878.5,0.005005918,1,4,81,0.0,0.025,-9.75,4.1e-06,1,1,0,0,1,0,21.889999999999993,31.400375000000004,1020.84583335,0.00510514065,17.89,21.8875,30.544541667000004,841.6208333300001,0.0049641195
27,2015-02-11 15:35,21.89,30.8175,429.0,891.25,0.005009605,1,4,81,0.0,0.0225,12.75,3.69e-06,1,1,0,0,1,0,21.889999999999993,31.345624999999995,1009.77083335,0.005096166500000001,17.89,21.8875,30.521791667000013,837.3708333300001,0.004960392050000001
